Original Tags,After 3 levenstein op,after 1 fingerprint op
JSDAI,JSDAI,JSDAI
Logic,Logic,Logic
use,use,Use
Austria,Austria,Austria
Bozen-Bolzano,Bozen-Bolzano,Bozen-Bolzano
Sud-Tirol,Sud-Tirol,Sud-Tirol
Performance,Performance,Performance
CLML,CLML,CLML
LKIF,LKIF,LKIF
MetaLex,MetaLex,MetaLex
Adaptation,Adaptation,Adaptation
Architecture,Architecture,Architecture
IoT,IoT,IoT
Load,Load,Load
Meteorology,Meteorology,Meteorology
Semantic,Semantic,Semantic
Smart,Smart,Smart
integration,Integration,Integration
Fuzzy,Fuzzy,Fuzzy
Fuzzy,Fuzzy,Fuzzy
BimCheck,BimCheck,BimCheck
SNL,SNL,SNL
Structured,Structured,Structured
efficiency,efficiency,efficiency
energy,Energy,Energy
Automation,Automation,Automation
Normative,Normative,Normative
Business,Business,Business
Construction,Construction,Construction
Offset,Offset,Offset
Rule,Rule,Rule
Guidelines,Guidelines,Guidelines
property,Property,Property
real,real,real
Brasil,Brasil,Brasil
Green,Green,Green
Intelligent,Intelligent,Intelligent
code,code,Code
ONTOP,ONTOP,ONTOP
RDF-star,RDF-star,RDF-star
version,version,version
domain,Domain,Domain
FORNAX,FORNAX,FORNAX
MEP,MEP,MEP
octree,octree,octree
rule,rule,Rule
spatial,spatial,spatial
SQL,SQL,SQL
engineering,engineering,engineering
life-cycle,Lifecycle,Lifecycle
proceedings,proceedings,proceedings
LPG,LPG,LPG
Neo4J,Neo4J,Neo4J
IFC,IFC,IFC
MVDXML,MVDXML,MVDXML
AECO,AECO,AECO
Artificial,Artificial,Artificial
Bibliometric,Bibliometric,Bibliometric
Building,building,building
Model,Model,Model
Natural,Natural,Natural
Semantic,Semantic,Semantic
Construction,Construction,Construction
CSCOntology,CSCOntology,CSCOntology
JESS,JESS,JESS
Safety,Safety,Safety
architecture,Architecture,Architecture
building,building,building
construction,Construction,Construction
decision,decision,decision
information,Information,Information
Inference,Inference,Inference
Semantic,Semantic,Semantic
Solid,Solid,Solid
Topology,Topology,Topology
Izmir,Izmir,Izmir
Municipality,Municipality,Municipality
